id,sentence,labels
7266-0,"During the past decade, the insect growth regulator pyriproxyfen has been the most used insecticide for controlling the California red scale (CRS), Aonidiella aurantii (Maskell), an important pest in citrus groves worldwide.","[[52, 64, 'pyriproxyfen', 'Pesticides'], [120, 130, 'California', 'Location'], [148, 167, 'Aonidiella aurantii', 'Species']]"
7266-2,"Pyriproxyfen was very effective against first- and second-instar nymphs of a susceptible strain of CRS; 0.1 and 0.2 mg AI L(-1), resulting in 80 and 100% mortality of first-instar nymphs, and in 62.5 and 91.7% mortality of second-instar nymphs respectively.","[[0, 12, 'Pyriproxyfen', 'Pesticides'], [104, 127, '0.1 and 0.2 mg AI L(-1)', 'LC/LD']]"
7266-3,"According to probit analysis, the LC(50) and LC(90) values of pyriproxyfen for first-instar nymphs were 0.03 and 0.15 mg AI L(-1), and for second-instar nymphs they were 0.05 and 0.25 mg AI L(-1) respectively.","[[62, 74, 'pyriproxyfen', 'Pesticides'], [104, 108, '0.03', 'LC/LD'], [113, 129, '0.15 mg AI L(-1)', 'LC/LD'], [170, 174, '0.05', 'LC/LD'], [179, 195, '0.25 mg AI L(-1)', 'LC/LD']]"
7266-4,Pyriproxyfen was quite effective on first-instar nymphs of a CRS field strain originating from a citrus grove where two successive applications of the compound had been applied.,"[[0, 12, 'Pyriproxyfen', 'Pesticides']]"
7266-6,Pyriproxyfen suppressed embryogenesis when CRS females were treated with pyriproxyfen.,"[[0, 12, 'Pyriproxyfen', 'Pesticides'], [73, 85, 'pyriproxyfen', 'Pesticides']]"
7272-0,"Brown planthopper, Nilaparvata lugens Stal., (BPH) was the most devastating insect pest on rice in many partS of Asia.","[[19, 37, 'Nilaparvata lugens', 'Species'], [113, 117, 'Asia', 'Location']]"
7272-3,This research was done to evaluate the efficiency of mangostin from the pericarp of mangosteen fruit extract (Garcina mangostana L.),"[[110, 128, 'Garcina mangostana', 'Species']]"
7289-1,"The efficacy of insecticide mixtures of acrinathrin, methiocarb, formetanate and chlorpyrifos was studied by topical exposure in strains of F. occidentalis selected for resistance to each insecticide.","[[40, 51, 'acrinathrin', 'Pesticides'], [53, 63, 'methiocarb', 'Pesticides'], [65, 76, 'formetanate', 'Pesticides'], [81, 93, 'chlorpyrifos', 'Pesticides'], [140, 155, 'F. occidentalis', 'Species']]"
7289-3,"Acrinathrin activity against F. occidentalis was enhanced by carbamate insecticides, methiocarb being a much better synergist than formetanate.","[[0, 11, 'Acrinathrin', 'Pesticides'], [29, 44, 'F. occidentalis', 'Species'], [61, 70, 'carbamate', 'Pesticides'], [85, 95, 'methiocarb', 'Pesticides'], [131, 142, 'formetanate', 'Pesticides']]"
7289-5,"However, the number of insecticides registered for control of F. occidentalis is very limited, and they are needed for antiresistance strategies such as mosaics and rotations.","[[62, 77, 'F. occidentalis', 'Species']]"
7289-6,"Therefore, a study was made of the synergist effect of other carbamates not used against thrips, such as carbofuran and carbosulfan, against a susceptible strain and a field strain.","[[61, 71, 'carbamates', 'Pesticides'], [105, 115, 'carbofuran', 'Pesticides'], [120, 131, 'carbosulfan', 'Pesticides']]"
7289-7,"Neither carbamate showed synergism to acrinathrin in the susceptible strain, but both did in the field strain, carbosulfan being a better synergist than carbofuran.","[[8, 17, 'carbamate', 'Pesticides'], [38, 49, 'acrinathrin', 'Pesticides'], [111, 122, 'carbosulfan', 'Pesticides'], [153, 163, 'carbofuran', 'Pesticides']]"
7295-1,"It was shown that Mtx1 has little or no toxicity to the tested lepidopteran species, but has moderate-level toxicity to Aedes albopictus Skuse (Diptera: Culicidae) and high-level toxicity to both susceptible and binary toxin-resistant Culex quinquefasciatus Say (Diptera: Culicidae).","[[120, 136, 'Aedes albopictus', 'Species'], [235, 257, 'Culex quinquefasciatus', 'Species']]"
7295-3,"The data indicate that Mtx1 has a different mode of action from the binary toxin, and that it could be an alternative toxin to delay or overcome resistance development to binary toxin in C. quinquefasciatus.","[[187, 206, 'C. quinquefasciatus', 'Species']]"
7301-0,Our previous studies showed that enhanced cytochrome P450-mediated detoxification is a major mechanism responsible for pyrethroid resistance in a laboratory-selected strain (YGF) of Helicoverpa armigera (Hübner).,"[[42, 57, 'cytochrome P450', 'Gene'], [119, 129, 'pyrethroid', 'Pesticides'], [182, 202, 'Helicoverpa armigera', 'Species']]"
7301-1,"Two new cytochrome P450 genes, CYP9A12 and CYP9A14 (encoding 531 and 530 amino acid residues, respectively) were isolated from the fat body of the YGF strain of H. armigera.","[[8, 29, 'cytochrome P450 genes', 'Gene'], [31, 38, 'CYP9A12', 'Gene'], [43, 50, 'CYP9A14', 'Gene'], [161, 172, 'H. armigera', 'Species']]"
7301-2,"The mRNA expression levels of these two CYP9 P450 genes, together with CYP6B7 and CYP4G8 (previously reported to be overexpressed in pyrethroid-resistant strains), were assessed by real-time quantitative reverse transcription-polymerase chain reaction in the final instars of a field-derived YG strain (with seven-fold resistance to the pyrethroid fenvalerate) and the YGF strain (selected from the YG strain with fenvalerate in the laboratory, with 1,690-fold resistance to fenvalerate).","[[40, 55, 'CYP9 P450 genes', 'Gene'], [71, 77, 'CYP6B7', 'Gene'], [82, 88, 'CYP4G8', 'Gene'], [116, 129, 'overexpressed', 'Research_level'], [133, 143, 'pyrethroid', 'Pesticides'], [181, 251, 'real-time quantitative reverse transcription-polymerase chain reaction', 'Research_level'], [308, 318, 'seven-fold', 'Resistance_factor_value'], [337, 359, 'pyrethroid fenvalerate', 'Pesticides'], [414, 425, 'fenvalerate', 'Pesticides'], [450, 460, '1,690-fold', 'Resistance_factor_value'], [475, 486, 'fenvalerate', 'Pesticides']]"
7301-4,"CYP9A12 and CYP9A14 had 19- and 4.3-fold overexpression in the midgut of the YGF strain compared with the YG strain, respectively, but CYP6B7 and CYP4G8 were not overexpressed.","[[0, 7, 'CYP9A12', 'Gene'], [12, 19, 'CYP9A14', 'Gene'], [41, 55, 'overexpression', 'Research_level'], [135, 141, 'CYP6B7', 'Gene'], [146, 152, 'CYP4G8', 'Gene'], [162, 175, 'overexpressed', 'Research_level']]"
7317-1,"Bioassay results showed that both E-TH21 powder and B-CW1 sporulated culture were highly toxic against susceptible Cx. quinquefasciatus, with LC50 values of 0.65 and 1.70 mg/liter against third and fourth instars at 48 h, respectively.","[[34, 47, 'E-TH21 powder', 'Pesticides'], [52, 76, 'B-CW1 sporulated culture', 'Pesticides'], [115, 135, 'Cx. quinquefasciatus', 'Species'], [157, 161, '0.65', 'LC/LD'], [166, 179, '1.70 mg/liter', 'LC/LD']]"
7317-2,"After initial 48-h exposure of larvae to different concentrations of Mtx1 and Bin, significant continued mortality could be observed in larval, pupal, and emergence stages of Cx. quinquefasciatus.","[[175, 195, 'Cx. quinquefasciatus', 'Species']]"
7317-4,"This finding is important for understanding the mode of action of Mtx1 and Bin toxins and for developing a new bioassay procedure for evaluation of toxicity of Bacillus sphaericus Neide, some strains of which produce Mtx1 and Bin, in the laboratory and field.","[[160, 185, 'Bacillus sphaericus Neide', 'Pesticides']]"
7326-0,Many pest insect species are effectively controlled by Bacillus thuringiensis (Bt) Cry toxins delivered in plants and biopesticides.,"[[55, 93, 'Bacillus thuringiensis (Bt) Cry toxins', 'Pesticides']]"
7326-2,Studies of Bt susceptible and resistant strains of Heliothis virescens have provided insights into resistance mechanisms and toxin receptors.,"[[11, 13, 'Bt', 'Pesticides'], [51, 70, 'Heliothis virescens', 'Species']]"
7326-3,"For example, the first gene identified as involved in high levels of Cry1Ac resistance in H. virescens encodes a cadherin-like protein, a functional Cry1A receptor in Lepidoptera.","[[69, 75, 'Cry1Ac', 'Pesticides'], [90, 102, 'H. virescens', 'Species'], [113, 134, 'cadherin-like protein', 'Gene'], [149, 154, 'Cry1A', 'Pesticides']]"
7326-4,This manuscript discusses the most updated information on the mode of action of Cry1A toxins obtained from the characterization of resistant mechanisms in H. virescens strains.,"[[80, 85, 'Cry1A', 'Gene'], [155, 167, 'H. virescens', 'Species']]"
7326-6,Following this approach we have been able to identify an alkaline phosphatase (HvALP) as a potential receptor and tested the utility of this protein as a marker for resistance to Cry1Ac.,"[[57, 85, 'alkaline phosphatase (HvALP)', 'Gene'], [179, 185, 'Cry1Ac', 'Pesticides']]"
7330-0,"Head lice, Pediculis capitis De Geer, populations were investigated for permethrin and malathion resistance after initial establishment of a discriminating dose of topical application bioassay with body lice, Pediculus humanus L. For both insecticides, approximately 2 times the lethal dose (LD)95 at 4 h was selected, 2 ng of permethrin and 100 ng of malathion per head louse, respectively.","[[11, 28, 'Pediculis capitis', 'Species'], [72, 82, 'permethrin', 'Pesticides'], [87, 96, 'malathion', 'Pesticides'], [209, 226, 'Pediculus humanus', 'Species'], [319, 323, '2 ng', 'LC/LD'], [327, 337, 'permethrin', 'Pesticides'], [342, 348, '100 ng', 'LC/LD'], [352, 361, 'malathion', 'Pesticides']]"
7330-4,The frequency of permethrin- and malathion-resistant head lice is high in Danish head lice populations.,"[[17, 27, 'permethrin', 'Pesticides'], [33, 42, 'malathion', 'Pesticides'], [74, 80, 'Danish', 'Location']]"
7330-5,"In 17 of 24 samples tested for permethrin resistance, all head lice survived the discriminating dose.","[[31, 41, 'permethrin', 'Pesticides']]"
7330-7,"In nine of 25 samples tested for malathion resistance, all head lice survived the discriminating dose.","[[33, 42, 'malathion', 'Pesticides']]"
7330-9,The connection between permethrin resistance and kdr-like mutations is confirmed by our findings.,"[[23, 33, 'permethrin', 'Pesticides'], [49, 57, 'kdr-like', 'Resistance_mechanism']]"
7338-1,"We used an F2 screen to test a critical assumption of the high-dose refuge strategy, which is that resistance allele (R) frequencies are initially rare (<10(-3)) in Ostrinia nubilalis (Hübner) (Lepidoptera: Crambidae) from the southern Corn Belt.","[[165, 183, 'Ostrinia nubilalis', 'Species'], [227, 245, 'southern Corn Belt', 'Location']]"
7338-3,"In total, 62 female and 131 male O. nubilalis lines from Kansas and 39 female and four male lines from Texas were screened.","[[33, 45, 'O. nubilalis', 'Species'], [57, 63, 'Kansas', 'Location'], [103, 108, 'Texas', 'Location']]"
7338-6,These results suggest the frequency of resistance alleles is low enough that the high-dose refuge resistance management strategy may be effective for delaying resistance evolution in O. nubilalis to Bt corn in the southern Corn Belt.,"[[183, 195, 'O. nubilalis', 'Species'], [199, 201, 'Bt', 'Pesticides'], [214, 232, 'southern Corn Belt', 'Location']]"
7365-0,"Anopheles stephensi Liston is an important malaria vector in Hormozgan province, where it is the most prevalent anopheline mosquito.","[[0, 19, 'Anopheles stephensi', 'Species'], [61, 79, 'Hormozgan province', 'Location']]"
7365-9,"These showed that all three forms are susceptible to bendiocarb, propoxur, malathion, fenitrothion, deltamethrin, permethrin, cyfluthrin, and lambdacyhalothrin, but are resistant to DDT and show low level of tolerance to dieldrin.","[[53, 63, 'bendiocarb', 'Pesticides'], [65, 73, 'propoxur', 'Pesticides'], [75, 84, 'malathion', 'Pesticides'], [86, 98, 'fenitrothion', 'Pesticides'], [100, 112, 'deltamethrin', 'Pesticides'], [114, 124, 'permethrin', 'Pesticides'], [126, 136, 'cyfluthrin', 'Pesticides'], [142, 159, 'lambdacyhalothrin', 'Pesticides'], [182, 185, 'DDT', 'Pesticides'], [221, 229, 'dieldrin', 'Pesticides']]"
7365-10,"Examination of the larvicidal activity of malathion, fenitrothion, temephos and chlorpyrifos at diagnostic doses showed that these stephensi forms are susceptible to all larvicides except fenitrothion.","[[42, 51, 'malathion', 'Pesticides'], [53, 65, 'fenitrothion', 'Pesticides'], [67, 75, 'temephos', 'Pesticides'], [80, 92, 'chlorpyrifos', 'Pesticides'], [188, 200, 'fenitrothion', 'Pesticides']]"
7365-11,"Irritability tests to pyrethroid insecticides showed high levels of irritability to permethrin and lambdacyhalothrin, but low irritability to cyfluthrin and deltamethrin.","[[22, 45, 'pyrethroid insecticides', 'Pesticides'], [84, 94, 'permethrin', 'Pesticides'], [99, 116, 'lambdacyhalothrin', 'Pesticides'], [142, 152, 'cyfluthrin', 'Pesticides'], [157, 169, 'deltamethrin', 'Pesticides']]"
7374-1,Statistical analysis identified 77 ESTs that were differentially transcribed among the three strains.,"[[35, 39, 'ESTs', 'Gene']]"
7374-2,"These include the cytochrome P450 CYP314A1, over-transcribed in the DDT resistant ZAN/U strain, and many genes that belong to families not usually associated with insecticide resistance, such as peptidases, sodium/calcium exchangers and genes implicated in lipid and carbohydrate metabolism.","[[14, 42, 'the cytochrome P450 CYP314A1', 'Gene'], [44, 60, 'over-transcribed', 'Research_level'], [68, 71, 'DDT', 'Pesticides']]"
7374-3,Short-term (6 and 10 h) effects of exposure of the pyrethroid resistant RSP strain to permethrin were also detected.,"[[51, 61, 'pyrethroid', 'Pesticides'], [86, 96, 'permethrin', 'Pesticides']]"
7381-5,Independent morphological analysis also identified P. argentipes.,"[[51, 64, 'P. argentipes', 'Species']]"
7381-7,"The Delft Island collection was assayed for the activities of four enzyme systems involved in insecticide resistance (acetylcholinesterase, non-specific carboxylesterases, glutathione-S-transferases and cytochrome p450 monooxygenases), establishing baselines against which subsequent collections can be evaluated.","[[4, 16, 'Delft Island', 'Location'], [118, 138, 'acetylcholinesterase', 'Gene'], [140, 170, 'non-specific carboxylesterases', 'Gene'], [172, 198, 'glutathione-S-transferases', 'Gene'], [203, 233, 'cytochrome p450 monooxygenases', 'Gene']]"
7381-8,"There was preliminary evidence for elevated esterases and altered acetylcholinesterase in this population, the first report of these resistance mechanisms in sand flies to our knowledge, which probably arose from the malathion-based spraying regimes of the Anti-Malarial Campaign.","[[44, 53, 'esterases', 'Gene'], [66, 86, 'acetylcholinesterase', 'Gene'], [217, 226, 'malathion', 'Pesticides']]"
7385-0,"Since a high percentage of cockroach infestation has been determined in hospitals in Kaohsiung, South Taiwan, insecticide resistances may have developed in the cockroach populations.","[[85, 94, 'Kaohsiung', 'Location'], [96, 108, 'South Taiwan', 'Location']]"
7385-1,"To determine the resistances in cohorts of German cockroach (Blattella germanica) from hospitals and households to organophosphates, carbamates and pyrethroids, cockroaches were trapped from 30 hospitals and 30 households in this area.","[[61, 80, 'Blattella germanica', 'Species'], [115, 131, 'organophosphates', 'Pesticides'], [133, 142, 'carbamate', 'Pesticides'], [148, 159, 'pyrethroids', 'Pesticides']]"
7385-6,The patterns of propoxur > chlorpyrifos > cypermethrin in hospitals and propoxur > cypermethrin > chlorpyrifos in households reflect that chlorpyrifos is more frequently used in hospitals than in households.,"[[16, 24, 'propoxur', 'Pesticides'], [27, 39, 'chlorpyrifos', 'Pesticides'], [42, 54, 'cypermethrin', 'Pesticides'], [72, 80, 'propoxur', 'Pesticides'], [83, 95, 'cypermethrin', 'Pesticides'], [98, 110, 'chlorpyrifos', 'Pesticides'], [138, 150, 'chlorpyrifos', 'Pesticides']]"
7385-7,"In contrast, cypermethrin is used more frequently in households.","[[13, 25, 'cypermethrin', 'Pesticides']]"
7390-0,"Vip3A, a novel insecticidal protein, is secreted by Bacillus thuringiensis (Bt) during vegetative growth.","[[52, 79, 'Bacillus thuringiensis (Bt)', 'Pesticides']]"
7390-2,"Since the first cloning of vip3A gene from Bt, many other vip3A genes have been isolated.","[[27, 32, 'vip3A', 'Pesticides'], [43, 45, 'Bt', 'Pesticides'], [58, 63, 'vip3A', 'Pesticides']]"
7390-5,39 strains including B. thuringiensis subsp. kurstaki (Btk) HD-1 were found to contain the vip3A genes.,"[[21, 64, 'B. thuringiensis subsp. kurstaki (Btk) HD-1', 'Pesticides'], [91, 96, 'vip3A', 'Gene']]"
7390-8,The vip3A genes amplified from wild-type Bacillus thuringiensis strains S101 and 611 with different levels of activity against lepidopteran insect larvae were cloned into pGEM-T Easy vector.,"[[4, 9, 'vip3A', 'Pesticides'], [41, 63, 'Bacillus thuringiensis', 'Pesticides']]"
7390-10,The plasmids pOTP-S101 and pOTP-611 were constructed by in- serting 2 vip3A genes (vip3A-S101 and vip3A-611) into the expression vector pQE30 respectively and were transformed into E. coli M15.,"[[70, 75, 'vip3A', 'Pesticides'], [83, 93, 'vip3A-S101', 'Pesticides'], [98, 107, 'vip3A-611', 'Pesticides']]"
7390-13,"Bioassay showed that each of these Vip3A proteins had similar toxicity against neonate Spodoptera litura larvae, indicating that some amino acids change had little effect on the insecticidal activity of proteins.","[[35, 40, 'Vip3A', 'Gene'], [87, 104, 'Spodoptera litura', 'Species']]"
7390-14,"Although vip3A genes are conservative, the unknown insecticidal spectrum is still to be brought out.","[[9, 14, 'vip3A', 'Pesticides']]"
7390-15,Vip3A genes can be used for the construction of the Bt engineered strains and transgenic plants.,"[[0, 11, 'Vip3A genes', 'Gene'], [52, 54, 'Bt', 'Pesticides']]"
7411-0,"The long-term usefulness of Bacillus thuringiensis Cry toxins, either in sprays or in transgenic crops, may be compromised by the evolution of resistance in target insects.","[[28, 61, 'Bacillus thuringiensis Cry toxins', 'Pesticides']]"
7411-5,"We detected a very high level of resistance to Cry1Ac; high levels of resistance to B. thuringiensis subsp. kurstaki Cry1Aa, Cry1Ab, and Cry1Fa; and a moderate level of resistance to Cry1Ca.","[[47, 53, 'Cry1Ac', 'Pesticides'], [84, 123, 'B. thuringiensis subsp. kurstaki Cry1Aa', 'Pesticides'], [125, 131, 'Cry1Ab', 'Pesticides'], [137, 143, 'Cry1Fa', 'Pesticides'], [183, 189, 'Cry1Ca', 'Pesticides']]"
7411-7,Notable features of the Karak population were that field-selected resistance to B. thuringiensis subsp. kurstaki did not decline at all in unselected populations over 11 generations in laboratory microcosm experiments and that resistance to Cry1Ac declined only threefold over the same period.,"[[24, 29, 'Karak', 'Location'], [80, 112, 'B. thuringiensis subsp. kurstaki', 'Pesticides'], [241, 247, 'Cry1Ac', 'Pesticides'], [262, 271, 'threefold', 'Resistance_factor_value']]"
7411-11,"At the highest dose of Cry1Ac tested, resistance was completely recessive, while at the lowest dose, it was incompletely dominant.","[[23, 29, 'Cry1Ac', 'Pesticides']]"
7411-13,Binding studies with 125I-labeled Cry1Ab and Cry1Ac revealed greatly reduced binding to brush border membrane vesicles prepared from this field population.,"[[34, 40, 'Cry1Ab', 'Pesticides'], [45, 51, 'Cry1Ac', 'Pesticides']]"
7426-0,"The interactions between six insecticides (indoxacarb, cypermethrin, chlorpyrifos, azinphosmethyl, tebufenozide and chlorfenapyr) and three potential synergists, (piperonyl butoxide (PBO), S,S,S-tributyl phosphorotrithioate (DEF) and diethyl maleate (DEM)) were studied by dietary exposure in a multi-resistant and a susceptible strain of the obliquebanded leafroller, Choristoneura rosaceana (Harris).","[[43, 53, 'indoxacarb', 'Pesticides'], [55, 67, 'cypermethrin', 'Pesticides'], [69, 81, 'chlorpyrifos', 'Pesticides'], [83, 97, 'azinphosmethyl', 'Pesticides'], [99, 111, 'tebufenozide', 'Pesticides'], [116, 128, 'chlorfenapyr', 'Pesticides'], [163, 187, 'piperonyl butoxide (PBO)', 'Pesticides'], [189, 229, 'S,S,S-tributyl phosphorotrithioate (DEF)', 'Pesticides'], [234, 255, 'diethyl maleate (DEM)', 'Pesticides'], [369, 392, 'Choristoneura rosaceana', 'Species']]"
7426-2,"Except for tebufenozide, PBO synergized all the insecticides to varying degrees in the resistant strain.","[[11, 23, 'tebufenozide', 'Pesticides'], [25, 28, 'PBO', 'Pesticides']]"
7426-4,"DEF also synergized indoxacarb, cypermethrin, chlorpyrifos, azinphosmethyl and tebufenozide in the resistant strain.","[[0, 3, 'DEF', 'Pesticides'], [20, 30, 'indoxacarb', 'Pesticides'], [32, 44, 'cypermethrin', 'Pesticides'], [46, 58, 'chlorpyrifos', 'Pesticides'], [60, 74, 'azinphosmethyl', 'Pesticides'], [79, 91, 'tebufenozide', 'Pesticides']]"
7426-5,"DEM produced synergism of indoxacarb, chlorpyrifos, azinphos-methyl and chlorfenapyr in the resistant strain.","[[0, 3, 'DEM', 'Pesticides'], [26, 36, 'indoxacarb', 'Pesticides'], [38, 50, 'chlorpyrifos', 'Pesticides'], [52, 67, 'azinphos-methyl', 'Pesticides'], [72, 84, 'chlorfenapyr', 'Pesticides']]"
7426-6,"DEM was highly synergistic to cypermethrin, and to some extent to tebufenozide in both the susceptible and resistant strains equally, implying that detoxification by glutathione S-transferases was not a mechanism of resistance for these insecticides.","[[0, 3, 'DEM', 'Pesticides'], [30, 42, 'cypermethrin', 'Pesticides'], [66, 78, 'tebufenozide', 'Pesticides'], [166, 192, 'glutathione S-transferases', 'Gene']]"
7426-7,"The high level of synergism seen with DEM in the case of cypermethrin may be due to an increase in oxidative stress resulting from the removal of the antioxidant, glutathione.","[[38, 41, 'DEM', 'Pesticides'], [57, 69, 'cypermethrin', 'Pesticides']]"
7430-0,"In May 2001 a sample of Culex pipiens pipiens variety molestus Forskål from Marin County, California, collected as larvae and reared to adults, was found to show reduced resmethrin and permethrin knock-down responses in bottle bioassays relative to a standard susceptible Cx. pipiens quinquefasciatus Say colony (CQ1).","[[7, 11, '2001', 'Year'], [24, 37, 'Culex pipiens', 'Species'], [76, 100, 'Marin County, California', 'Location'], [170, 180, 'resmethrin', 'Pesticides'], [185, 195, 'permethrin', 'Pesticides'], [196, 215, 'knock-down response', 'Resistance_mechanism'], [220, 236, 'bottle bioassays', 'Research_level'], [272, 283, 'Cx. pipiens', 'Species']]"
7430-1,"Larval susceptibility tests, using CQ1 as standard susceptible, indicated that the Marin mosquitoes had LC50 resistance ratios of 18.3 for permethrin, 12 for deltamethrin and 3.3 for pyrethrum.","[[83, 99, 'Marin mosquitoes', 'Species'], [130, 134, '18.3', 'Resistance_factor_value'], [139, 149, 'permethrin', 'Pesticides'], [151, 153, '12', 'Resistance_factor_value'], [158, 170, 'deltamethrin', 'Pesticides'], [175, 178, '3.3', 'Resistance_factor_value'], [183, 192, 'pyrethrum', 'Pesticides']]"
7430-2,A colony of Marin was established and rapidly developed higher levels of resistance in a few generations after exposure to permethrin as larvae.,"[[123, 133, 'permethrin', 'Pesticides']]"
7430-3,These selected larvae were shown to cross-resist to lambda-cyhalothrin as well as to DDT.,"[[52, 70, 'lambda-cyhalothrin', 'Pesticides'], [85, 88, 'DDT', 'Pesticides']]"
7430-4,"However, adult knock-down time in the presence of permethrin, resmethrin and pyrethrum was not increased after increase in tolerance to pyrethroids as larvae.","[[50, 60, 'permethrin', 'Pesticides'], [62, 72, 'resmethrin', 'Pesticides'], [77, 86, 'pyrethrum', 'Pesticides'], [136, 147, 'pyrethroids', 'Pesticides']]"
7434-0,Helicoverpa armigera (Hübner) populations from West Africa recently developed resistance to pyrethroid insecticides through enhanced metabolism by mixed-function oxidases.,"[[0, 20, 'Helicoverpa armigera', 'Species'], [47, 58, 'West Africa', 'Location'], [92, 102, 'pyrethroid', 'Pesticides']]"
7434-4,"Significant synergism was shown for the following mixtures: cypermethrin/ethion, deltamethrin/triazophos, and deltamethrin/chlorpyriphos.","[[60, 79, 'cypermethrin/ethion', 'Pesticides'], [81, 104, 'deltamethrin/triazophos', 'Pesticides'], [110, 136, 'deltamethrin/chlorpyriphos', 'Pesticides']]"
7434-5,"The use of synergism from these insecticide mixtures should prove to be an additional tool in the overall resistance management strategy because the pyrethroid resistance in H. armigera from West Africa is not yet stable, decreasing between cotton seasons and increasing with treatments.","[[149, 159, 'pyrethroid', 'Pesticides'], [174, 185, 'H. armigera', 'Species'], [191, 202, 'West Africa', 'Location']]"
7434-6,"In absence of selection, the susceptibility of H. armigera to insecticides should be restored.","[[47, 58, 'H. armigera', 'Species']]"
7443-0,Biochemical mechanisms of malathion resistance were investigated in a malathion-resistant strain of the parasitoid Habrobracon hebetor Say collected from a farm storage in Kansas.,"[[26, 35, 'malathion', 'Pesticides'], [70, 79, 'malathion', 'Pesticides'], [115, 134, 'Habrobracon hebetor', 'Species'], [172, 178, 'Kansas', 'Location']]"
7443-3,"Because MCE was not elevated in the resistant strain, the weak malathion resistance in H. hebetor may result from a different mechanism compared with that hypothesized for some insect species in which reduced general esterase activity is accompanied by an elevated MCE.","[[8, 11, 'MCE', 'Gene'], [63, 72, 'malathion', 'Pesticides'], [87, 97, 'H. hebetor', 'Species'], [209, 225, 'general esterase', 'Gene'], [265, 268, 'MCE', 'Gene']]"
7443-5,"Indeed, E1 and E2, major esterases in the susceptible strain, were not present in the resistant strain on polyacrylamide gels that were stained for esterase activity using the model substrate 1-naphthyl acetate.","[[25, 34, 'esterases', 'Gene'], [106, 120, 'polyacrylamide', 'Pesticides'], [148, 156, 'esterase', 'Gene']]"
7443-7,These findings indicate that malathion resistance in H. hebetor is associated with both an increased activity of the esterase E3 and null alleles of the esterases E1 and E2.,"[[29, 38, 'malathion', 'Pesticides'], [53, 63, 'H. hebetor', 'Species'], [117, 128, 'esterase E3', 'Gene'], [153, 165, 'esterases E1', 'Gene'], [170, 172, 'E2', 'Gene']]"
7456-5,"Test results showed that the color intensity decreased as increasing concentrations of propoxur were added, thereby confirming the susceptibility of the enzyme to inhibitor.","[[87, 95, 'propoxur', 'Pesticides']]"
7456-6,"Assay of non-specific esterase however, indicated elevated levels which were correlated with degree of malathion resistance.","[[103, 112, 'malathion', 'Pesticides']]"
7456-8,It was concluded that such a pattern was not contributory to malathion resistance in adults.,"[[61, 70, 'malathion', 'Pesticides']]"
7466-0,The effect of previous insecticide use patterns for horn fly control on the susceptibility spectrum of horn fly (Haematobia irritans [L.]),"[[113, 132, 'Haematobia irritans', 'Species']]"
7466-2,"Populations of horn flies from both states were tested with three pyrethroids (cyhalothrin, cypermethrin, and permethrin), three organophosphates (diazinon, pirimiphos methyl, and tetrachlorvinphos), and a chlorinated hydrocarbon (methoxychlor).","[[66, 77, 'pyrethroids', 'Pesticides'], [79, 90, 'cyhalothrin', 'Pesticides'], [92, 104, 'cypermethrin', 'Pesticides'], [110, 120, 'permethrin', 'Pesticides'], [129, 145, 'organophosphates', 'Pesticides'], [147, 155, 'diazinon', 'Pesticides'], [157, 174, 'pirimiphos methyl', 'Pesticides'], [180, 197, 'tetrachlorvinphos', 'Pesticides'], [206, 243, 'chlorinated hydrocarbon (methoxychlor', 'Pesticides']]"
7466-4,Two permethrin-resistant horn fly populations in Kentucky that did not have a history of exposure to methoxychlor were cross-resistant to this chlorinated hydrocarbon.,"[[4, 14, 'permethrin', 'Pesticides'], [101, 113, 'methoxychlor', 'Pesticides'], [143, 166, 'chlorinated hydrocarbon', 'Pesticides']]"
7466-5,Horn fly populations from both states with a history of at least three consecutive years of exposure to various pyrethroid ear tags were subsequently exposed to cattle tagged with cyhalothrin-impregnated ear tags for 15-16 wk.,"[[112, 122, 'pyrethroid', 'Pesticides'], [180, 191, 'cyhalothrin', 'Pesticides']]"
7466-8,Seasonal exposure of an Arkansas and Kentucky horn fly population to cattle with ear tags impregnated with pirimiphos methyl resulted in a significant decrease in susceptibility to this organophosphate.,"[[24, 45, 'Arkansas and Kentucky', 'Location'], [107, 124, 'pirimiphos methyl', 'Pesticides'], [186, 201, 'organophosphate', 'Pesticides']]"
7479-0,"Mechanisms of formamidine synergism of pyrethroid insecticides were investigated in the house fly, Musca domestica L. A bioassay method was developed to show formamidine synergism of cypermethrin in adult house flies.","[[39, 49, 'pyrethroid', 'Pesticides'], [99, 114, 'Musca domestica', 'Species'], [183, 195, 'cypermethrin', 'Pesticides']]"
7479-1,Flies were exposed to a residue of cypermethrin with and without formamidine for 30 min and then transferred to a clean container.,"[[35, 47, 'cypermethrin', 'Pesticides']]"
7479-3,Synergism of cypermethrin occurred in flies exposed simultaneously to cypermethrin plus formamidines and in flies exposed to cypermethrin either before or after exposure to a formamidine.,"[[13, 25, 'cypermethrin', 'Pesticides'], [70, 82, 'cypermethrin', 'Pesticides'], [125, 137, 'cypermethrin', 'Pesticides'], [175, 186, 'formamidine', 'Pesticides']]"
7479-4,Synergism ranged up to 11.8-fold and was greater in susceptible than in resistant house flies.,"[[23, 32, '11.8-fold', 'Resistance_factor_value']]"
